corruption,size_bin,class_name,mean_AP50_95_over_severity,clean_AP50_95,absolute_drop,rPC_corruption,severity_conditions
motion_blur,M,all_macro,0.31691193025065895,0.6939112923987594,0.3769993621481004,0.45670380886170103,5
motion_blur,L,all_macro,0.5380857216840148,0.8156218251468484,0.27753610346283364,0.6597245256245261,5
zoom_blur,ALL,all_macro,0.10005176156521693,0.6069524313063762,0.5069006697411593,0.16484283842453712,5
zoom_blur,ALL,hat,0.1471971928388614,0.7125204886571556,0.5653232958182941,0.2065866107461346,5
zoom_blur,ALL,person,0.05290633029157247,0.5013843739555969,0.4484780436640244,0.10552050091664386,5
zoom_blur,ES,all_macro,0.01139104288316578,0.3141471092881632,0.3027560664049974,0.03626021868855371,5
zoom_blur,ES,hat,0.0013532701065925635,0.22565674694100948,0.22430347683441693,0.005997029226634785,5
zoom_blur,ES,person,0.021428815659739,0.40263747163531693,0.38120865597557796,0.053221116188479946,5
zoom_blur,S,all_macro,0.039544903035551845,0.5541587548627844,0.5146138518272326,0.07136024232865108,5
zoom_blur,S,hat,0.03721404156374667,0.5744331893389237,0.5372191477751771,0.06478393354425394,5
zoom_blur,S,person,0.04187576450735701,0.5338843203866451,0.4920085558792881,0.07843602613583052,5
zoom_blur,M,all_macro,0.10053945081615576,0.6939112923987594,0.5933718415826036,0.1448880453704741,5
zoom_blur,L,all_macro,0.23335363001607848,0.8156218251468484,0.58226819513077,0.2861051811286001,5
snow,ALL,all_macro,0.20611377887805307,0.6069524313063762,0.40083865242832317,0.33958802740838084,5
snow,ALL,hat,0.3136041118506722,0.7125204886571556,0.39891637680648334,0.44013346541332865,5
snow,ALL,person,0.0986234459054339,0.5013843739555969,0.40276092805016295,0.1967022728039149,5
snow,ES,all_macro,0.03345324545918509,0.3141471092881632,0.2806938638289781,0.10648910803281927,5
snow,ES,hat,0.02139973613139651,0.22565674694100948,0.20425701080961298,0.09483313227497145,5
snow,ES,person,0.045506754786973684,0.40263747163531693,0.35713071684834324,0.11302165842177443,5
snow,S,all_macro,0.14405541962544102,0.5541587548627844,0.41010333523734344,0.2599533407373681,5
snow,S,hat,0.18712445749864873,0.5744331893389237,0.38730873184027503,0.32575495457356424,5
snow,S,person,0.10098638175223329,0.5338843203866451,0.43289793863441184,0.1891540505986349,5
snow,M,all_macro,0.3029792368871459,0.6939112923987594,0.3909320555116135,0.4366253153768212,5
snow,L,all_macro,0.4085751784736689,0.8156218251468484,0.4070466466731795,0.5009370346362508,5
frost,ALL,all_macro,0.25323073487711933,0.6069524313063762,0.3537216964292569,0.41721677320260053,5
frost,ALL,hat,0.387473804982522,0.7125204886571556,0.3250466836746336,0.5438072464593552,5
