corruption,severity,size_bin,class_name,AP50,AP50_95,R50_max,R50_at_conf_025,clean_AP50_95,absolute_drop_AP50_95,retention_ratio
brightness,2,S,person,0.6552388395744844,0.28307875153491363,0.8290944435444678,0.5567795237323829,0.5338843203866451,0.2508055688517315,0.5302248834165139
brightness,2,M,all_macro,0.8746218761298783,0.5790112287329545,0.9371667191907341,0.8143228061581089,0.6939112923987594,0.11490006366580485,0.8344167836372708
brightness,2,L,all_macro,0.9322787640119556,0.7361636534677178,0.9407992650436381,0.8269499310978411,0.8156218251468484,0.07945817167913061,0.9025796401845615
brightness,3,ALL,all_macro,0.6322706334792321,0.39319718740994053,0.7951393029597542,0.5829196322795782,0.6069524313063762,0.2137552438964357,0.6478220814827962
brightness,3,ALL,hat,0.7515995725031746,0.5674956594327163,0.8865814696485623,0.7273695420660277,0.7125204886571556,0.14502482922443927,0.7964622329699476
brightness,3,ALL,person,0.5129416944552897,0.21889871538716474,0.703697136270946,0.4384697224931288,0.5013843739555969,0.2824856585684321,0.4365886269254786
brightness,3,ES,all_macro,0.2322181402386121,0.0733083565956344,0.5533736448109217,0.25011345501838833,0.3141471092881632,0.2408387526925288,0.23335677594406753
brightness,3,ES,hat,0.10201507606387354,0.03836621548166621,0.48826291079812206,0.15492957746478872,0.22565674694100948,0.18729053145934327,0.17002024535829985
brightness,3,ES,person,0.36242120441335063,0.10825049770960257,0.6184843788237213,0.3452973325719879,0.40263747163531693,0.29438697392571433,0.2688535105039823
brightness,3,S,all_macro,0.5812937070841263,0.28944449753841006,0.8242904228446104,0.5448441280087157,0.5541587548627844,0.26471425732437437,0.5223133172552323
brightness,3,S,hat,0.5819623013346436,0.3310240956627418,0.8873626373626373,0.6236263736263736,0.5744331893389237,0.2434090936761819,0.576262134233043
brightness,3,S,person,0.5806251128336091,0.24786489941407833,0.7612182083265835,0.46606188239105784,0.5338843203866451,0.28601942097256683,0.46426705177363464
brightness,3,M,all_macro,0.8210704524716601,0.5376864921253706,0.9051155971518434,0.7447267916427448,0.6939112923987594,0.1562248002733888,0.7748634415022411
