corruption,severity,size_bin,class_id,class_name,gt_count,AP50,AP50_95,R50_max,R50_at_conf_025,eval_predictions_at_iou50,ignored_predictions_at_iou50
shot_noise,2,M,0,hat,679,0.42158832196024665,0.26888913664229336,0.5434462444771723,0.3122238586156112,2768,57553
shot_noise,2,M,1,person,3776,0.37446143028818063,0.20526761192336665,0.3365995762711864,0.1329449152542373,3664,46101
shot_noise,2,L,0,hat,622,0.46524486849229346,0.3273662690071482,0.6093247588424437,0.2877813504823151,2217,58104
shot_noise,2,L,1,person,350,0.34836652972204296,0.20702125716064282,0.25142857142857145,0.11142857142857143,223,49542
shot_noise,2,ALL,all,all_macro,24436,0.24376530044542322,0.13114955034363532,0.4254610597450793,0.18401345446658812,110086,0
shot_noise,2,ES,all,all_macro,12472,0.10977512774584974,0.03629346500068464,0.33317918769653565,0.09225759976286466,86646,23440
shot_noise,2,S,all,all_macro,6537,0.26480293071702704,0.12962304598691385,0.40622246294123826,0.1710610991147197,14280,95806
shot_noise,2,M,all,all_macro,4455,0.39802487612421367,0.23707837428283002,0.44002291037417934,0.22258438693492424,6432,103654
shot_noise,2,L,all,all_macro,972,0.40680569910716824,0.26719376308389553,0.4303766651355076,0.19960496095544328,2440,107646
shot_noise,3,ALL,0,hat,1878,0.09199564035316474,0.05664354181249605,0.2657082002129925,0.08839190628328009,59186,0
shot_noise,3,ALL,1,person,22558,0.09467336848803301,0.03386674366670249,0.0941572834471141,0.021145491621597658,16801,0
shot_noise,3,ES,0,hat,213,0.024601895433317342,0.008846183686772455,0.14553990610328638,0.046948356807511735,52182,7004
shot_noise,3,ES,1,person,12259,0.08862641452030547,0.025084928214479097,0.12219593767844034,0.027734725507790194,14538,2263
shot_noise,3,S,0,hat,364,0.14513560948332904,0.08131401729947728,0.2802197802197802,0.0989010989010989,3494,55692
shot_noise,3,S,1,person,6173,0.13071846393225792,0.06055520525240484,0.04697877855175765,0.009071764134132512,1380,15421
shot_noise,3,M,0,hat,679,0.21633107785798536,0.12728495036457782,0.2533136966126657,0.10751104565537556,1350,57836
shot_noise,3,M,1,person,3776,0.24603790471790757,0.13289741522260085,0.08183262711864407,0.019067796610169493,768,16033
shot_noise,3,L,0,hat,622,0.1876016677119069,0.11857400374887803,0.31189710610932475,0.07556270096463022,2139,57047
shot_noise,3,L,1,person,350,0.23048655067888602,0.13839792773296994,0.07714285714285714,0.025714285714285714,71,16730
shot_noise,3,ALL,all,all_macro,24436,0.09333450442059887,0.04525514273959927,0.1799327418300533,0.05476869895243887,75987,0
shot_noise,3,ES,all,all_macro,12472,0.0566141549768114,0.016965555950625776,0.13386792189086336,0.03734154115765097,66720,9267
shot_noise,3,S,all,all_macro,6537,0.1379270367077935,0.07093461127594106,0.16359927938576893,0.0539864315176157,4874,71113
shot_noise,3,M,all,all_macro,4455,0.23118449128794646,0.13009118279358933,0.16757316186565488,0.06328942113277253,2118,73869
shot_noise,3,L,all,all_macro,972,0.20904410919539645,0.12848596574092397,0.19451998162609094,0.05063849333945797,2210,73777
shot_noise,4,ALL,0,hat,1878,0.007329162128164354,0.004761265391128767,0.061235356762513314,0.005857294994675187,33566,0
shot_noise,4,ALL,1,person,22558,0.05316467710527491,0.01633470644097296,0.015471229718946716,0.0019948577001507226,3622,0
shot_noise,4,ES,0,hat,213,0.0001227015743371884,4.3416998641215985e-05,0.03286384976525822,0.0,29556,4010
shot_noise,4,ES,1,person,12259,0.050541990813169166,0.014514590478401914,0.025124398401174648,0.003670772493678114,3478,144
shot_noise,4,S,0,hat,364,0.009923964837765793,0.0060572608317375504,0.03296703296703297,0.0027472527472527475,1322,32244
shot_noise,4,S,1,person,6173,0.13921864087393096,0.05021294054239047,0.0032399157621901833,0.0,74,3548
shot_noise,4,M,0,hat,679,0.06248408613656441,0.0329121250042916,0.050073637702503684,0.010309278350515464,440,33126
shot_noise,4,M,1,person,3776,0.1335278126690444,0.0722992403949461,0.003972457627118644,0.0,58,3564
shot_noise,4,L,0,hat,622,0.029236300479793205,0.014983651280926,0.09967845659163987,0.00482315112540193,2247,31319
shot_noise,4,L,1,person,350,0.25678052325581396,0.12619272773971518,0.017142857142857144,0.0,12,3610
shot_noise,4,ALL,all,all_macro,24436,0.03024691961671963,0.010547985916050863,0.038353293240730016,0.003926076347412955,37188,0
shot_noise,4,ES,all,all_macro,12472,0.02533234619375318,0.007279003738521565,0.028994124083216433,0.001835386246839057,33034,4154
shot_noise,4,S,all,all_macro,6537,0.07457130285584837,0.02813510068706401,0.018103474364611575,0.0013736263736263737,1396,35792
shot_noise,4,M,all,all_macro,4455,0.09800594940280441,0.05260568269961885,0.027023047664811166,0.005154639175257732,498,36690
shot_noise,4,L,all,all_macro,972,0.14300841186780358,0.07058818951032059,0.05841065686724851,0.002411575562700965,2259,34929
shot_noise,5,ALL,0,hat,1878,0.0058634393780063005,0.0048720680021129515,0.020766773162939296,0.0010649627263045794,23312,0
shot_noise,5,ALL,1,person,22558,0.02880429594932333,0.008438198076470992,0.0058072524159943255,0.0005762922244879865,2740,0
shot_noise,5,ES,0,hat,213,0.0,0.0,0.0,0.0,20038,3274
shot_noise,5,ES,1,person,12259,0.028844075783847553,0.008354614891567176,0.010359735704380455,0.0010604453870625664,2668,72
shot_noise,5,S,0,hat,364,0.0031199069779946497,0.001725373027124967,0.005494505494505495,0.0,685,22627
shot_noise,5,S,1,person,6173,0.0,0.0,0.0,0.0,40,2700
shot_noise,5,M,0,hat,679,0.029173010371869465,0.01602616138051083,0.013254786450662739,0.0014727540500736377,189,23123
shot_noise,5,M,1,person,3776,0.06692419825072887,0.02470444548475761,0.0007944915254237289,0.0,24,2716
shot_noise,5,L,0,hat,622,0.012644532250608796,0.0059484715204223566,0.04501607717041801,0.001607717041800643,2400,20912
shot_noise,5,L,1,person,350,0.06705229226361033,0.02682091690544413,0.002857142857142857,0.0,8,2732
shot_noise,5,ALL,all,all_macro,24436,0.017333867663664813,0.006655133039291971,0.01328701278946681,0.000820627475396283,26052,0
shot_noise,5,ES,all,all_macro,12472,0.014422037891923777,0.004177307445783588,0.0051798678521902276,0.0005302226935312832,22706,3346
shot_noise,5,S,all,all_macro,6537,0.0015599534889973248,0.0008626865135624835,0.0027472527472527475,0.0,725,25327
shot_noise,5,M,all,all_macro,4455,0.04804860431129917,0.02036530343263422,0.007024638988043234,0.0007363770250368188,213,25839
